"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Salt Lake County, UT"	"49035"	21	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"King County, WA"	"53033"	13	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Milwaukee County, WI"	"55079"	12	Not Applicable	Not Applicable
"Total"	"2007"	"2007"	"Feb., 2007"	"2007/02"			2887	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Jefferson County, AL"	"01073"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Maricopa County, AZ"	"04013"	50	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Alameda County, CA"	"06001"	20	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Contra Costa County, CA"	"06013"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Fresno County, CA"	"06019"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Kern County, CA"	"06029"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Los Angeles County, CA"	"06037"	65	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Orange County, CA"	"06059"	27	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Riverside County, CA"	"06065"	21	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Sacramento County, CA"	"06067"	15	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"San Diego County, CA"	"06073"	26	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"San Francisco County, CA"	"06075"	17	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"San Joaquin County, CA"	"06077"	13	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Santa Clara County, CA"	"06085"	12	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Arapahoe County, CO"	"08005"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Denver County, CO"	"08031"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Fairfield County, CT"	"09001"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Hartford County, CT"	"09003"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"New Haven County, CT"	"09009"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Brevard County, FL"	"12009"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Broward County, FL"	"12011"	22	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Duval County, FL"	"12031"	14	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Hillsborough County, FL"	"12057"	29	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Miami-Dade County, FL"	"12086"	15	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Palm Beach County, FL"	"12099"	18	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	"Pasco County, FL"	"12101"	14	Not Applicable	Not Applicable
