County_Code,Deaths,Population,State,County_nm
12089,16,73314,FL,Nassau
12091,19,180822,FL,Okaloosa
12093,-1,39996,FL,Okeechobee
12095,156,1145956,FL,Orange
12097,27,268685,FL,Osceola
12099,238,1320134,FL,Palm Beach
12101,177,464697,FL,Pasco
12103,284,916542,FL,Pinellas
12105,95,602095,FL,Polk
12107,23,74364,FL,Putnam
12109,22,190039,FL,St. Johns
12111,54,277789,FL,St. Lucie
12113,23,151372,FL,Santa Rosa
12115,83,379448,FL,Sarasota
12117,71,422718,FL,Seminole
12119,-1,93420,FL,Sumter
12121,-1,41551,FL,Suwannee
12123,-1,22570,FL,Taylor
12125,-1,15535,FL,Union
12127,112,494593,FL,Volusia
12129,-1,30776,FL,Wakulla
12131,-1,55043,FL,Walton
12133,-1,24896,FL,Washington
13001,-1,18236,GA,Appling
13003,-1,8375,GA,Atkinson
13005,-1,11096,GA,Bacon
13007,-1,3451,GA,Baker
13009,-1,45720,GA,Baldwin
13011,-1,18395,GA,Banks
13013,13,69367,GA,Barrow
13015,22,100157,GA,Bartow
13017,-1,17634,GA,Ben Hill
13019,-1,19286,GA,Berrien
13021,14,155547,GA,Bibb
13023,-1,13063,GA,Bleckley
13025,-1,18411,GA,Brantley
13027,-1,16243,GA,Brooks
13029,-1,30233,GA,Bryan
13031,-1,70217,GA,Bulloch
13033,-1,23316,GA,Burke
13035,-1,23655,GA,Butts
13037,-1,6694,GA,Calhoun
13039,-1,50513,GA,Camden
13043,-1,10998,GA,Candler
13045,19,110527,GA,Carroll
13047,13,63942,GA,Catoosa
13049,-1,12171,GA,Charlton
13051,26,265128,GA,Chatham
13053,-1,11267,GA,Chattahoochee
13055,-1,26015,GA,Chattooga
13057,26,214346,GA,Cherokee
13059,-1,116714,GA,Clarke
13061,-1,3183,GA,Clay
13063,20,259424,GA,Clayton
13065,-1,6798,GA,Clinch
13067,60,688078,GA,Cobb
13069,-1,42356,GA,Coffee
13071,-1,45498,GA,Colquitt
13073,15,124053,GA,Columbia
13075,-1,17212,GA,Cook
13077,-1,127317,GA,Coweta
13079,-1,12630,GA,Crawford
13081,-1,23439,GA,Crisp
13083,-1,16633,GA,Dade
13085,-1,22330,GA,Dawson
13087,-1,27842,GA,Decatur
13089,43,691893,GA,DeKalb
13091,-1,21796,GA,Dodge
13093,-1,14918,GA,Dooly
13095,-1,94565,GA,Dougherty
13097,15,132403,GA,Douglas
13099,-1,11008,GA,Early
13101,-1,4034,GA,Echols
13103,-1,52250,GA,Effingham
13105,-1,20166,GA,Elbert
13107,-1,22598,GA,Emanuel
13109,-1,11000,GA,Evans
13111,11,23682,GA,Fannin
13113,-1,106567,GA,Fayette
13115,21,96317,GA,Floyd
13117,16,175511,GA,Forsyth
13119,-1,22084,GA,Franklin
13121,110,920581,GA,Fulton
13123,-1,28292,GA,Gilmer
13125,-1,3082,GA,Glascock
13127,-1,79626,GA,Glynn
13129,-1,55186,GA,Gordon
13131,-1,25011,GA,Grady
13133,-1,15994,GA,Greene
13135,60,805321,GA,Gwinnett
13137,10,43041,GA,Habersham
13139,24,179684,GA,Hall
13141,-1,9429,GA,Hancock
13143,14,28780,GA,Haralson
13145,-1,32024,GA,Harris
13147,-1,25213,GA,Hart
13149,-1,11834,GA,Heard
13151,28,203922,GA,Henry
13153,16,139900,GA,Houston
13155,-1,9538,GA,Irwin
13157,12,60485,GA,Jackson
13159,-1,13900,GA,Jasper
13161,-1,15068,GA,Jeff Davis
13163,-1,16930,GA,Jefferson
13165,-1,8340,GA,Jenkins
13167,-1,9980,GA,Johnson
13169,-1,28669,GA,Jones
13171,-1,18317,GA,Lamar
13173,-1,10078,GA,Lanier
13175,-1,48434,GA,Laurens
13177,-1,28298,GA,Lee
13179,-1,63453,GA,Liberty
13181,-1,7996,GA,Lincoln
13183,-1,14464,GA,Long
13185,-1,109233,GA,Lowndes
13187,-1,29966,GA,Lumpkin
13189,-1,21875,GA,McDuffie
13191,-1,14333,GA,McIntosh
13193,-1,14740,GA,Macon
13195,-1,28120,GA,Madison
13197,-1,8742,GA,Marion
13199,-1,21992,GA,Meriwether
13201,-1,6125,GA,Miller
13205,-1,23498,GA,Mitchell
13207,-1,26424,GA,Monroe
13209,-1,9123,GA,Montgomery
13211,-1,17868,GA,Morgan
13213,10,39628,GA,Murray
13215,27,189885,GA,Muscogee
13217,-1,99958,GA,Newton
13219,-1,32808,GA,Oconee
13221,-1,14899,GA,Oglethorpe
13223,35,142324,GA,Paulding
13225,-1,27695,GA,Peach
13227,-1,29431,GA,Pickens
13229,-1,18758,GA,Pierce
13231,-1,17869,GA,Pike
13233,11,41475,GA,Polk
13235,-1,12010,GA,Pulaski
13237,-1,21218,GA,Putnam
13239,-1,2513,GA,Quitman
13241,-1,16276,GA,Rabun
13243,-1,7719,GA,Randolph
13245,39,200549,GA,Richmond
13247,-1,85215,GA,Rockdale
13249,-1,5010,GA,Schley
13251,-1,14593,GA,Screven
13253,-1,8729,GA,Seminole
13255,-1,64073,GA,Spalding
13257,-1,26175,GA,Stephens
13259,-1,6058,GA,Stewart
13261,-1,32819,GA,Sumter
13263,-1,6865,GA,Talbot
13265,-1,1717,GA,Taliaferro
13267,-1,25520,GA,Tattnall
13269,-1,8906,GA,Taylor
13271,-1,16500,GA,Telfair
13273,-1,9315,GA,Terrell
13275,-1,44720,GA,Thomas
13277,-1,40118,GA,Tift
13279,-1,27223,GA,Toombs
13281,-1,10471,GA,Towns
13283,-1,6885,GA,Treutlen
13285,-1,67044,GA,Troup
13287,-1,8930,GA,Turner
13289,-1,9023,GA,Twiggs
13291,-1,21356,GA,Union
13293,-1,27153,GA,Upson
13295,10,68756,GA,Walker
13297,11,83768,GA,Walton
13299,-1,36312,GA,Ware
13301,-1,5834,GA,Warren
13303,-1,21187,GA,Washington
13305,-1,30099,GA,Wayne
13307,-1,2799,GA,Webster
