fips,year,deaths_clean,mortality_rate,log_mortality,opioids_in_gm,pop_clean,hhincome_clean,age_clean,white_clean,percent_white,coef_opioids_in_gm,coef_hhincome_clean,coef_age_clean,coef_pop_clean,coef_opioids_per1000_gm
34039,2006,22,4.15449431306381,1.4241907152601998,77663.913347025,529547,66791,37.8,248067,46.8451336708545,2.0578094139072898e-06,-1.74810867850564e-05,-0.00917639664970515,0.0143665527384595,0.00205780941390729
35001,2006,171,26.434537418783396,3.2746713907177103,141738.02160195,646881,47481,35.7,275813,42.6373629771163,5.7124845600655195e-06,-9.3366523625316e-06,0.0327809612092548,-0.0231216914489858,0.00571248456006552
35005,2006,18,28.0077176822058,3.33248010370317,11584.475975,64268,37524,35.2,29227,45.476753594323796,-6.51418288292864e-06,7.04292673434082e-06,0.0784132115525509,-0.0243682280849917,-0.00651418288292864
35013,2006,30,14.8757871770715,2.6997348694985,22483.692519599997,201670,36657,32.2,61493,30.491892695988497,3.60026845472387e-06,1.97140107467825e-05,0.0668675451669358,-0.00919586923380322,0.0036002684547238703
35015,2006,13,24.684325453337102,3.2061684451611203,9003.462675,52665,46583,37.4,28053,53.266875534035904,-9.66540902436978e-06,5.64996537906655e-06,0.11464835548305498,-0.0452057406403554,-0.00966540902436978
35035,2006,14,22.2993851740945,3.10455910741759,9955.55950545,62782,39615,36.5,33670,53.6300213436972,-2.74303032689479e-06,-1.31014209577979e-05,0.207974356139857,-0.0349250618314585,-0.00274303032689479
35039,2006,20,49.757432516482105,3.9071598497621602,12067.673572,40195,41437,38.6,5506,13.6982211717875,9.872960845562641e-06,-9.49753757850929e-06,0.0263908193150135,-0.0264816262613987,0.00987296084556264
35043,2006,15,12.071171627918199,2.49082009982007,15672.47739715,124263,57158,37.4,59709,48.05050578209121,8.42607287679355e-06,-1.40258951999706e-05,0.0255990453045828,-0.028048125555034,0.00842607287679355
35045,2006,14,10.9789282997561,2.39597782655963,19091.81255445,127517,46189,32.3,54270,42.5590313448403,5.660964176328771e-05,1.7377539914147102e-05,-0.0348020059264869,-0.0309122591173612,0.0566096417632877
35049,2006,25,17.642658536929602,2.8703197499332203,28669.390582125,141702,52696,42.2,62947,44.42209707696429,6.9324590977225296e-06,-2.1046176354124302e-05,0.0299415382280239,-0.0286350745040362,0.00693245909772253
