County_cd,State,County_nm,pills
12053,FL,HERNANDO,13449660
12055,FL,HIGHLANDS,2964640
12057,FL,HILLSBOROUGH,88310475
12059,FL,HOLMES,759140
12061,FL,INDIAN RIVER,6033803
12063,FL,JACKSON,1722340
12065,FL,JEFFERSON,351310
12067,FL,LAFAYETTE,210620
12069,FL,LAKE,11649700
12071,FL,LEE,26422800
12073,FL,LEON,7288440
12075,FL,LEVY,2759570
12077,FL,LIBERTY,110800
12079,FL,MADISON,454410
12081,FL,MANATEE,16843380
12083,FL,MARION,15759940
12085,FL,MARTIN,6020070
12086,FL,MIAMI-DADE,36604779
12087,FL,MONROE,5093990
12089,FL,NASSAU,4421230
12091,FL,OKALOOSA,6984610
12093,FL,OKEECHOBEE,2275620
12095,FL,ORANGE,43846710
12097,FL,OSCEOLA,10691023
12099,FL,PALM BEACH,72252010
12101,FL,PASCO,28624120
12103,FL,PINELLAS,55856826
12105,FL,POLK,19595290
12107,FL,PUTNAM,5563480
12109,FL,SAINT JOHNS,6238870
12111,FL,SAINT LUCIE,9320910
12113,FL,SANTA ROSA,8040000
12115,FL,SARASOTA,19861518
12117,FL,SEMINOLE,19162080
12119,FL,SUMTER,3071770
12121,FL,SUWANNEE,1523870
12123,FL,TAYLOR,1386960
12125,FL,UNION,461660
12127,FL,VOLUSIA,28911963
12129,FL,WAKULLA,932260
12131,FL,WALTON,3155180
12133,FL,WASHINGTON,1661400
13001,GA,APPLING,715400
13003,GA,ATKINSON,367000
13005,GA,BACON,943380
13009,GA,BALDWIN,1582120
13011,GA,BANKS,500000
13013,GA,BARROW,3102530
13015,GA,BARTOW,4714650
13017,GA,BEN HILL,930900
13019,GA,BERRIEN,668390
13021,GA,BIBB,10279314
13023,GA,BLECKLEY,566310
13025,GA,BRANTLEY,629720
13027,GA,BROOKS,894900
13029,GA,BRYAN,1292900
13031,GA,BULLOCH,1720940
13033,GA,BURKE,493640
13035,GA,BUTTS,814000
13037,GA,CALHOUN,78500
13039,GA,CAMDEN,1846830
13043,GA,CANDLER,444750
13045,GA,CARROLL,7413920
13047,GA,CATOOSA,3682460
13049,GA,CHARLTON,393500
13051,GA,CHATHAM,8164694
