county_id,2006,2007,2008,2009,2010,2011,2012
06045,24675,25422,28140,27419,27669,29169,31746
06047,28347,31509,33433,36133,39237,45443,53432
06049,2087,2692,3392,4358,5269,5718,5623
06051,1096,1184,1438,1473,1728,1961,1885
06053,47144,50911,59628,63917,65642,67005,76231
06055,23355,24751,26110,28290,28497,28976,33653
06057,23432,26297,28372,29351,31415,32382,32114
06059,412607,424507,442863,450575,460956,633772,745371
06061,101023,112639,121096,138638,138625,148352,150290
06063,5350,5338,5968,6280,6797,8025,10839
06065,255339,269208,305269,358925,382325,444085,473672
06067,367028,409356,429018,440627,433091,461017,483242
06069,6037,6683,6035,6109,6470,7369,7995
06071,260417,280754,307998,326556,377459,441389,430249
06073,447527,490173,528948,564505,592831,704247,744084
06075,103009,108506,118894,117104,122643,131729,135264
06077,134883,129816,140016,172178,206251,230107,239335
06079,49856,52466,57394,60364,63869,71273,81128
06081,89174,94786,102814,109236,112220,117425,126275
06083,61836,63468,72068,82114,81643,89530,95069
06085,162019,189313,205306,206159,202398,216671,230630
06087,32345,36616,41756,47567,49489,53590,61305
06089,55568,62825,70502,77321,81374,91641,93354
06091,405,518,495,703,881,557,513
06093,10353,12465,14288,16179,17906,19663,19406
06095,94637,102773,107724,117381,120196,121851,132785
06097,97998,104270,113137,117597,116779,129232,140399
06099,139007,148519,147138,167491,172673,186871,219222
06101,20851,26269,29995,31557,33648,34169,35197
06103,13803,15940,17198,17694,18562,19814,20181
06105,2899,3022,3042,3885,3877,3727,5855
06107,49324,54926,60202,66133,69966,80787,94993
06109,18862,20748,22659,22997,22916,24311,26337
06111,103340,112694,119447,126944,149726,155878,160604
06113,22556,25020,28176,31803,31516,32385,36946
06115,11899,12797,14900,17863,19533,20341,22366
08001,47235,56956,67451,74030,86477,96526,99805
08003,5957,6591,7761,9005,9408,11315,13311
08005,67904,80880,91698,99531,106389,114709,122404
08007,847,1007,1144,1362,1384,1554,1824
08009,359,431,389,332,398,518,375
08011,538,683,899,929,1059,1437,1613
08013,40000,46630,53710,54271,60512,62627,63466
08014,7617,9224,10072,12201,15562,20888,23218
08015,3715,4235,5017,5037,5793,6852,7103
08017,102,101,121,140,284,243,229
08019,1174,1733,1683,1648,2131,2113,1258
08021,725,776,841,1100,1129,1465,2055
08025,745,825,837,965,1269,1322,1206
08027,9,10,0,2,5,10,11
08029,6381,8303,10143,10279,9640,10874,10751
08031,52373,60317,65908,73356,80377,99166,102319
08035,26339,31188,34842,38060,40488,42644,45925
08037,8673,9246,11083,12119,13198,13830,13769
08041,79514,93210,105742,115707,131070,150093,158680
08039,1212,1497,1604,1676,2435,2731,2534
08043,8503,10011,12468,13164,12932,15293,14725
08045,10667,13044,14378,13651,14186,14401,14180
