County_cd,State,County_nm,pills
15009,HI,MAUI,6970140
19001,IA,ADAIR,232420
19003,IA,ADAMS,68600
19005,IA,ALLAMAKEE,347500
19007,IA,APPANOOSE,635100
19009,IA,AUDUBON,100060
19011,IA,BENTON,453040
19013,IA,BLACK HAWK,3957970
19015,IA,BOONE,1002490
19017,IA,BREMER,1295170
19019,IA,BUCHANAN,317650
19021,IA,BUENA VISTA,406300
19023,IA,BUTLER,196600
19025,IA,CALHOUN,191790
19027,IA,CARROLL,772670
19029,IA,CASS,578910
19031,IA,CEDAR,218760
19033,IA,CERRO GORDO,2350380
19035,IA,CHEROKEE,268620
19037,IA,CHICKASAW,216400
19039,IA,CLARKE,474980
19041,IA,CLAY,500190
19043,IA,CLAYTON,282980
19045,IA,CLINTON,1836680
19047,IA,CRAWFORD,357720
19049,IA,DALLAS,916710
19051,IA,DAVIS,153670
19053,IA,DECATUR,327340
19055,IA,DELAWARE,262800
19057,IA,DES MOINES,1869130
19059,IA,DICKINSON,462530
19061,IA,DUBUQUE,2651260
19063,IA,EMMET,164700
19065,IA,FAYETTE,679590
19067,IA,FLOYD,369900
19069,IA,FRANKLIN,249730
19071,IA,FREMONT,171300
19073,IA,GREENE,330800
19075,IA,GRUNDY,333300
19077,IA,GUTHRIE,314440
19079,IA,HAMILTON,373500
19081,IA,HANCOCK,162760
19083,IA,HARDIN,568400
19085,IA,HARRISON,508340
19087,IA,HENRY,468600
19089,IA,HOWARD,268100
19091,IA,HUMBOLDT,265600
19093,IA,IDA,228600
19095,IA,IOWA,345060
19097,IA,JACKSON,531100
19099,IA,JASPER,1207630
19101,IA,JEFFERSON,606060
19103,IA,JOHNSON,2135005
19105,IA,JONES,434340
19107,IA,KEOKUK,103260
19109,IA,KOSSUTH,454720
19111,IA,LEE,2240660
19113,IA,LINN,5536740
19115,IA,LOUISA,96990
19117,IA,LUCAS,305800
19119,IA,LYON,248100
19121,IA,MADISON,482480
19123,IA,MAHASKA,774800
19125,IA,MARION,1173790
19127,IA,MARSHALL,1416000
19129,IA,MILLS,435330
19131,IA,MITCHELL,187100
19133,IA,MONONA,380700
19135,IA,MONROE,277700
19137,IA,MONTGOMERY,435530
19139,IA,MUSCATINE,1200840
19141,IA,OBRIEN,272040
19143,IA,OSCEOLA,120860
19145,IA,PAGE,798280
19147,IA,PALO ALTO,142900
19149,IA,PLYMOUTH,379800
19151,IA,POCAHONTAS,160800
19153,IA,POLK,22157364
19155,IA,POTTAWATTAMIE,3482270
19157,IA,POWESHIEK,555900
