"reporter_county","reporter_state","total_gms"
"CHESTER","PA","3.2207279999999994"
"KERN","CA","3.027"
"CAROLINA","PR","2.27025"
"ROGERS","OK","1.3318800000000002"
"NEW HAVEN","CT","0.9413249999999999"
"FORSYTH","NC","0.6674534999999999"
"MARION","FL","0.6054"
"SMITH","TX","0.6054"
"PASSAIC","NJ","0.4555952999999999"
"FAULKNER","AR","0.44825"
"BEAUFORT","SC","0.44825"
"KANE","IL","0.3027"
"ALLEGANY","MD","0.075675"
"LANCASTER","NE","0.03586"
